InstID,Sensitivity,OldSens
5296,-4,
5318,-4,
5984,-4,
5986,-4,
5987,-4,
5989,-4,
5991,-4,
5992,-4,
5994,-4,
6655,-4,-5.6
6663,-4,-5.6
6664,-4,-5.6
6665,-4,-5.6
6666,-4,-5.6
6667,-4,-5.6
6668,-4,-5.6
6669,-4,-5.6
6670,-4,-5.6
6671,-4,-5.6
6672,-4,-5.7
6673,-4,-5.7
8025,-4,
8025,-4,
7932,-4,
6667,-4,
7939,-4,
7930,-4,
7951,-4,
6663,-4,
7934,-4,
7519,-4,
